Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Total Gastrectomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Subtotal Gastrectomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Distal Gastrectomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Proximal Gastrectomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Sleeve Gastrectomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Roux-en-Y Gastric Bypass;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Biliopancreatic Diversion with Duodenal Switch;General Surgery & Gastrointestinal;"Massive hemorrhage (portal vein, superior mesenteric artery/vein injury) ; Splenic vein/artery laceration ; Hemodynamic collapse during dissection";"Postoperative pancreatic fistula (POPF) ; Delayed gastric emptying (DGE) ; Post-pancreatectomy hemorrhage (PPH) ; Abdominal abscess or sepsis";"Exocrine pancreatic insufficiency (steatorrhea / malabsorption) ; Endocrine insufficiency (brittle pancreatogenic diabetes) ; Marginal ulceration or anastomotic stricture"
Adjustable Gastric Banding;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Revisional Bariatric Surgery;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Gastrostomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Percutaneous Endoscopic Gastrostomy (PEG);General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Gastroenterostomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Gastrotomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Antrectomy;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Vagotomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Truncal Vagotomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Selective Vagotomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Highly Selective Vagotomy;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Pyloroplasty;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Heineke-Mikulicz Pyloroplasty;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Finney Pyloroplasty;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Jaboulay Pyloroplasty;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
Fundoplication;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Nissen Fundoplication;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Toupet Fundoplication;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
Dor Fundoplication;General Surgery & Gastrointestinal;"Esophageal or gastric wall perforation ; Splenic injury or short gastric vessel hemorrhage ; Vagus nerve inadvertent transection";"Anastomotic or staple-line leak / peritonitis ; Gastroparesis / delayed gastric emptying ; Early post-op dumping syndrome ; Wound dehiscence or deep space abscess";"Chronic dumping syndrome / hypoglycemia ; Marginal ulceration or stricture ; Nutritional deficiencies (Vitamin B12, iron, calcium, folate) ; Reflux or recurrent dysphagia"
LINX Reflux Management System Implantation;General Surgery & Gastrointestinal;"Intraoperative localized hemorrhage ; Inadvertent serosal or organ thermal injury ; Anesthetic complications";"Surgical site infection / wound breakdown ; Postoperative paralytic ileus ; Deep vein thrombosis (DVT)";"Incisional hernia ; Intra-abdominal adhesion formation ; Chronic localized pain"
