Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
arthroplasty;Orthopedic Surgery;"Bleeding at the Surgical Site (Excessive blood loss during joint replacement); Bone Fracture (Accidental crack in the bone during implant placement); Nerve or Blood Vessel Injury (Damage to nearby nerves or vessels during surgery); Anesthetic Complications (Reaction related to general or regional anesthesia); Injury to Surrounding Tissue (Accidental damage to nearby ligaments or tendons)";"Joint Pain (Pain at the surgical joint site); Stiffness (Limited joint movement after surgery); Swelling (Swelling around the joint); Wound Infection (Infection at the joint incision site); Joint Infection (Infection around the artificial joint); Implant Failure (Artificial joint fails and needs replacement)";"Implant Loosening (Artificial joint becomes loose over time); Wear of Joint Components (Gradual wearing down of the artificial joint surfaces); Chronic Pain or Reduced Range of Motion (Ongoing stiffness limiting joint use); Periprosthetic Fracture (A bone fracture occurring around the artificial joint years later); Joint Dislocation (The artificial joint components shift out of place)"
endarterectomy;Vascular Surgery;"Stroke (Stroke during or after surgery); Major Bleeding (Significant bleeding from the carotid artery); Injury to Nearby Nerves (Accidental damage to nerves controlling voice or tongue movement); Blood Pressure Instability (Sudden swings in blood pressure during artery clamping); Anesthetic Reaction (Complication related to general or regional anesthesia)";"Neck Pain (Pain at the surgical site in the neck); Headache (Headache after carotid artery surgery); Nerve Injury (Temporary nerve injury affecting voice or tongue); Wound Infection (Infection at the neck incision site); Carotid Restenosis (Narrowing returns to the artery)";"Restenosis (The artery narrows again over months to years); Chronic Neck Discomfort (Ongoing soreness at the surgical site); Recurrent Stroke Risk (Continued risk of stroke despite the procedure); Cranial Nerve Dysfunction (Ongoing difficulty with voice, swallowing, or tongue movement); Scar Tissue Discomfort (Persistent tightness or tenderness at the neck incision)"
pericardiectomy;Cardiac Surgery;"Fatigue (Tiredness during recovery); Bleeding (Bleeding around the heart); Injury to the Heart Muscle (Accidental damage to the heart surface during removal of the sac); Arrhythmia (Irregular heartbeat occurring during surgery); Anesthetic Reaction (Complication related to general anesthesia)";"Chest Pain (Pain in the chest after heart sac surgery); Arrhythmias (Irregular heart rhythms after surgery); Wound Infection (Infection at the chest incision site); Heart Damage (Accidental damage to heart muscle); Low Cardiac Output (Heart cannot pump enough blood)";"Chronic Chest Discomfort (Ongoing soreness at the surgical site); Recurrent Fluid Buildup (Fluid re-accumulating around the heart over time); Long-Term Heart Function Changes (Gradual changes in how well the heart pumps); Constrictive Physiology Recurrence (Return of restrictive symptoms if scar tissue reforms); Chronic Fatigue (Ongoing tiredness related to heart function changes)"
thrombectomy;Vascular Surgery;"Bleeding (Bleeding at the catheter insertion site); Vessel Damage (Damage to the blood vessel during procedure); Embolization (Clot breaks off and travels to other areas); Major Bleeding (Significant internal bleeding); Anesthetic Reaction (Mild reaction to local or general anesthesia)";"Pain (Pain at the catheter insertion site); Bruising (Bruising around the insertion site); Wound Infection (Infection at the catheter insertion site); Anesthetic Reaction (Mild reaction to local or general anesthesia); Limb Swelling (Ongoing swelling in the treated limb)";"Recurrent Blood Clot Formation (Clots forming again in the same vessel over time); Chronic Limb Swelling (Ongoing swelling if the procedure involved a limb vessel); Vessel Narrowing (Long-term narrowing at the treated site); Chronic Venous Insufficiency (Long-term poor blood return from the treated vein); Post-Thrombotic Syndrome (Ongoing pain, swelling, and skin changes in the limb)"
embolectomy;Vascular Surgery;"Bleeding (Bleeding at the surgical site); Vessel Wall Injury (Accidental damage to the blood vessel during clot removal); Anesthetic Reaction (Mild reaction to local or general anesthesia); Distal Embolization (A fragment of the clot travels further into the limb); Anesthetic Complications (Reaction related to general or regional anesthesia)";"Pain (Pain at the surgical site); Swelling (Swelling in the affected limb); Wound Infection (Infection at the surgical incision site); Nerve Damage (Injury to nerves near the clot removal site); Compartment Syndrome (Increased pressure in the muscle compartment); Amputation Risk (Risk of limb amputation if circulation fails)";"Chronic Limb Ischemia (Ongoing reduced blood flow to the affected limb); Recurrent Clot Formation (New clots forming at or near the treated site); Post-Thrombotic Syndrome (Long-term swelling, pain, and skin changes in the affected limb); Chronic Limb Weakness (Ongoing reduced strength in the affected limb); Skin Changes (Long-term discoloration or texture changes from reduced circulation)"
gingivectomy;Dental Surgery;"Minor Bleeding (Slight bleeding from the gums after procedure); Severe Bleeding / Hemorrhage (Excessive bleeding from gum tissue that requires intervention); Anesthetic Reaction (Mild reaction to local numbing medication); Injury to Adjacent Teeth (Accidental damage to nearby tooth structure during gum removal); Excessive Tissue Removal (More gum tissue removed than intended)";"Gum Soreness (Mild tenderness and discomfort in the gum tissue); Sensitivity (Temporary sensitivity to hot or cold foods); Swelling (Mild swelling of the gums); Infection (Localized gum infection that may need antibiotics); Oral Nerve Damage (Injury to local nerves causing prolonged numbness in the gums or lower lip); Severe Gum/Bone Infection (Deep tissue infection or abscess near the surgical site); Delayed Tissue Healing / Necrosis (Poor healing of the gum tissue exposing underlying bone)";"Gum Recession (Long-term thinning or pulling back of the gum tissue); Tooth Sensitivity (Ongoing sensitivity to hot, cold, or sweet); Root Exposure (Exposed tooth roots increasing risk of decay); Uneven Gum Contour (Long-term asymmetry in gum line appearance); Increased Risk of Cavities (Higher decay risk from exposed tooth surfaces)"
frenectomy;Dental Surgery;"Minor Bleeding (Slight bleeding from the procedure site); Excessive Bleeding (Significant bleeding requiring intervention); Anesthetic Reaction (Mild reaction to local numbing medication); Injury to Nearby Salivary Ducts (Accidental damage to small ducts near the frenum); Excessive Tissue Removal (More tissue removed than intended)";"Tongue/Lip Soreness (Mild discomfort at the frenum release site); Swelling (Mild swelling of the tongue or lip); Difficulty Moving Tongue/Lip (Temporary limitation of movement); Infection (Localized infection at the procedure site); Oral Nerve Damage (Injury to nerves causing numbness in tongue or lip); Scarring (Excessive scar tissue restricting movement)";"Scar Tissue Reattachment (The frenum reattaches and restricts movement again); Persistent Speech or Feeding Difficulty (Ongoing functional issues if healing is incomplete); Gum Recession (Long-term gum tissue changes near the healed site); Altered Speech Patterns (Ongoing minor speech changes if healing restricts movement); Tooth Gap Changes (Shifts in space between teeth near the release site)"
gingivoplasty;Dental Surgery;"Minor Bleeding (Slight bleeding from the gums); Severe Bleeding (Excessive bleeding requiring intervention); Anesthetic Reaction (Mild reaction to local numbing medication); Injury to Adjacent Teeth (Accidental damage to nearby tooth structure during reshaping); Excessive Tissue Removal (More gum tissue removed than intended)";"Gum Soreness (Mild tenderness after gum reshaping); Sensitivity (Temporary sensitivity to temperature changes); Swelling (Mild swelling of the treated gums); Asymmetry (Uneven gum contour after healing); Oral Nerve Damage (Nerve injury causing prolonged numbness); Tissue Necrosis (Poor healing of gum tissue)";"Gum Recession (Long-term thinning or pulling back of gum tissue); Tooth Sensitivity (Ongoing sensitivity to temperature changes); Recurrent Gum Overgrowth (Gum tissue growing back irregularly over time); Root Exposure (Exposed tooth roots increasing risk of decay); Uneven Healing (Irregular gum contour developing during recovery)"
tooth extraction;General Surgery;"Bleeding (Normal bleeding from the extraction socket); Severe Bleeding (Excessive bleeding that requires medical attention); Jaw Fracture (Rare fracture of the jawbone during extraction); Adjacent Tooth Damage (Accidental damage to a neighboring tooth during extraction); Sinus Exposure (Opening into the sinus cavity during removal of an upper tooth)";"Pain (Pain at the extraction site); Swelling (Swelling of the cheek or jaw area); Dry Socket (Painful condition when blood clot dislodges); Infection (Infection in the extraction socket); Nerve Damage (Injury to nerves causing numbness in lip or tongue)";"Bone Loss at Extraction Site (Gradual shrinkage of the jawbone where the tooth was removed); Shifting of Nearby Teeth (Neighboring teeth gradually moving into the gap); Chronic Jaw Discomfort (Ongoing soreness in the jaw joint or muscles); Sinus Complications (Opening between the mouth and sinus if an upper tooth is removed); Delayed Healing of the Socket (Slower-than-expected healing of the extraction site)"
extraction;Dental Surgery;"Bleeding (Normal bleeding from the extraction site); Severe Bleeding (Excessive bleeding requiring intervention); Jaw Fracture (Rare fracture of the jawbone during extraction); Anesthetic Reaction (Mild reaction to local numbing medication); Root Fragment Retention (A small piece of tooth root remaining in the socket)";"Pain (Pain at the extraction site); Swelling (Swelling of the affected area); Dry Socket (Painful condition when blood clot dislodges); Infection (Infection at the extraction site); Nerve Damage (Injury to nerves causing numbness)";"Bone Loss at Extraction Site (Gradual shrinkage of the jawbone where the tooth was removed); Shifting of Nearby Teeth (Neighboring teeth gradually moving into the gap); Chronic Jaw Discomfort (Ongoing soreness in the jaw joint or muscles); Sinus Complications (Opening between the mouth and sinus if an upper tooth is removed); Delayed Healing of the Socket (Slower-than-expected healing of the extraction site)"
